".";"(1)";"(2)";"(3)";"(4)";"(5)";"(6)"
"";"0.052";"0.036";"0.079";"0.065";"0.016";"0.021"
"Coef";"(0.04)";"(0.02)";"(0.06)";"(0.06)";"(0.02)";"(0.03)"
"";"fit_map_risco_inund";"fit_map_risco_inund";"fit_fisc_ench";"fit_fisc_ench";"fit_sist_alert_ench";"fit_sist_alert_ench"
"";"0.032***";"0.26***";"0.037*";"0.143*";"0.102***";"0.289***"
"Coef";"(0.01)";"(0.08)";"(0.02)";"(0.08)";"(0.02)";"(0.09)"
"";"z_sum_map_risco_inund";"z_wmean_map_risco_inund";"z_sum_fisc_ench";"z_wmean_fisc_ench";"z_sum_sist_alert_ench";"z_wmean_sist_alert_ench"
"Controls";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"KP F-Statistic - First Stage";"6.37";"9.88";"3.79";"3.22";"26.88";"13.69"
"Number of Observations";"301";"301";"301";"301";"301";"301"
