"(.)";"(1)";"(2)";"(3)"
"Coef";"0.01";"0.011";"0.002"
"";"(0.02)";"(0.01)";"(0.01)"
"";"fit_map_risco_inund";"fit_fisc_ench";"fit_sist_alert_ench"
"Controls";"Yes";"Yes";"Yes"
"KP F-Statistic - First Stage";"8.45";"4.85";"25.64"
"Number of Observations";"274";"274";"274"
"Coef";"0.007";"0";"0"
"";"(0.01)";"(0.01)";"(0)"
"";"fit_map_risco_inund";"fit_fisc_ench";"fit_sist_alert_ench"
"Controls";"Yes";"Yes";"Yes"
"KP F-Statistic - First Stage";"8.12";"3.49";"16.88"
"Number of Observations";"252";"252";"252"
"Coef";"0.073";"-0.229";"-0.003"
"";"(0.16)";"(1.05)";"(0.08)"
"";"fit_map_risco_inund";"fit_fisc_ench";"fit_sist_alert_ench"
"Controls";"Yes";"Yes";"Yes"
"KP F-Statistic - First Stage";"0.44";"0.05";"0.57"
"Number of Observations";"65";"65";"65"
"Coef";"0.019";"0.109";"0.009"
"";"(0.04)";"(0.15)";"(0.02)"
"";"fit_map_risco_inund";"fit_fisc_ench";"fit_sist_alert_ench"
"Controls";"Yes";"Yes";"Yes"
"KP F-Statistic - First Stage";"8.6";"0.8";"29.2"
"Number of Observations";"197";"197";"197"
